Term ID,Term name,Hierarchy role,Parent names,Full hierarchy path(s)
783,"Gender perspectives in science, technology and innovation",Leaf child,"Science, Technology and Innovation","Science, Technology and Innovation > Gender perspectives in science, technology and innovation"
1719,STI Project: Bio-Circular-Green Economic Model - BCG,Leaf child,"Science, Technology and Innovation","Science, Technology and Innovation > STI Project: Bio-Circular-Green Economic Model - BCG"
1430,STIxNET,Leaf child,"Science, Technology and Innovation","Science, Technology and Innovation > STIxNET"
1908,UNDA Project 2629G: Gender-inclusive digital transformation in ASEAN,Leaf child,"Science, Technology and Innovation","Science, Technology and Innovation > UNDA Project 2629G: Gender-inclusive digital transformation in ASEAN"
878,Women in STEM,Leaf child,"Science, Technology and Innovation","Science, Technology and Innovation > Women in STEM"
765,South-South Cooperation,Root parent,,South-South Cooperation
766,Belt and Road Initiative: UNCTAD Platform,Leaf child,South-South Cooperation,South-South Cooperation > Belt and Road Initiative: UNCTAD Platform
1914,China INT-0T-NBF Project: Global South Research,Leaf child,South-South Cooperation,South-South Cooperation > China INT-0T-NBF Project: Global South Research
1618,CIDCA Project: Economic Diversification and Resilience in Barbados,Leaf child,South-South Cooperation,South-South Cooperation > CIDCA Project: Economic Diversification and Resilience in Barbados
767,South-South Integration and the SDGs: 2030Agenda Project,Leaf child,South-South Cooperation,South-South Cooperation > South-South Integration and the SDGs: 2030Agenda Project
892,UN-DESA 2030 Project:  Green development in Asian BRI Partner Countries,Leaf child,South-South Cooperation,South-South Cooperation > UN-DESA 2030 Project:  Green development in Asian BRI Partner Countries
768,UNDA Project 1617L: Policies for Economic Growth in Southern Africa,Leaf child,South-South Cooperation,South-South Cooperation > UNDA Project 1617L: Policies for Economic Growth in Southern Africa
742,UNDA Project 2326D: South-South cooperation to finance SDGs,Leaf child,South-South Cooperation,South-South Cooperation > UNDA Project 2326D: South-South cooperation to finance SDGs
1732,UNDA Project 2427M: Green Transformation in Latin America,Leaf child,South-South Cooperation,South-South Cooperation > UNDA Project 2427M: Green Transformation in Latin America
857,Statistics,Root parent,,Statistics
1907,2030 Agenda Sub-Fund project TOAZ: Beyond GDP,Leaf child,Statistics,Statistics > 2030 Agenda Sub-Fund project TOAZ: Beyond GDP
1906,Beyond GDP,Leaf child,Statistics,Statistics > Beyond GDP
1661,Illicit Financial Flows,Leaf child,Statistics,Statistics > Illicit Financial Flows
1639,Project TKAZ: Joint SDG Fund Project: Support to Egypt,Leaf child,Statistics,Statistics > Project TKAZ: Joint SDG Fund Project: Support to Egypt
1562,Project TMAY: Illicit financial flows and policy formulation,Leaf child,Statistics,Statistics > Project TMAY: Illicit financial flows and policy formulation
858,Statistics Capacity Building,Leaf child,Statistics,Statistics > Statistics Capacity Building
859,Statistics E-Learning,Leaf child,Statistics,Statistics > Statistics E-Learning
1637,Trade-in-Services Statistics (TiSSTAT),Leaf child,Statistics,Statistics > Trade-in-Services Statistics (TiSSTAT)
860,UEMOA – Project RAF0TBCR,Leaf child,Statistics,Statistics > UEMOA – Project RAF0TBCR
1429,UNDA Project 1617A: Statistics Trade Preferences and NTMs,Leaf child,Statistics,Statistics > UNDA Project 1617A: Statistics Trade Preferences and NTMs
1641,UNDA Project 1617AL: Illicit financial flows in Latin America,Leaf child,Statistics,Statistics > UNDA Project 1617AL: Illicit financial flows in Latin America
1642,UNDA Project 2023K: illicit financial flows in Asia-Pacific,Leaf child,Statistics,Statistics > UNDA Project 2023K: illicit financial flows in Asia-Pacific
1720,UNDA Project 2326M: Measuring and Curbing Illicit Financial Flows,Leaf child,Statistics,Statistics > UNDA Project 2326M: Measuring and Curbing Illicit Financial Flows
1733,UNDA Project 2427K: Trade in Services in CARICOM,Leaf child,Statistics,Statistics > UNDA Project 2427K: Trade in Services in CARICOM
1905,UNDA Project 2629F: Digital trade statistics for gender-responsive policies,Leaf child,Statistics,Statistics > UNDA Project 2629F: Digital trade statistics for gender-responsive policies
861,UNDAP - Inclusive Growth: Tanzania and Zanzibar,Leaf child,Statistics,Statistics > UNDAP - Inclusive Growth: Tanzania and Zanzibar
862,Technical Cooperation,Root parent,,Technical Cooperation
1826,SDG fund project MPTFO: Amplifying digital opportunities in cross-border trade,Leaf child,Technical Cooperation,Technical Cooperation > SDG fund project MPTFO: Amplifying digital opportunities in cross-border trade
1643,UNDA Project 2023Y: Social Protection for COVID-19 Responses,Leaf child,Technical Cooperation,Technical Cooperation > UNDA Project 2023Y: Social Protection for COVID-19 Responses
864,Technology and Logistics,Root parent,,Technology and Logistics
865,ASYCUDA (Customs modernization and automation),Leaf child,Technology and Logistics,Technology and Logistics > ASYCUDA (Customs modernization and automation)
1939,EU Project TPAC: Comoros Economic Integration Acceleration Programme,Leaf child,Technology and Logistics,Technology and Logistics > EU Project TPAC: Comoros Economic Integration Acceleration Programme
1579,IsDB Project 32TXB: Trans-Saharan road transport corridor,Leaf child,Technology and Logistics,Technology and Logistics > IsDB Project 32TXB: Trans-Saharan road transport corridor
876,P166,Leaf child,Technology and Logistics,Technology and Logistics > P166
1561,Training and Capacity Building,Child and parent,Technology and Logistics,Technology and Logistics > Training and Capacity Building
880,TrainForTrade,Leaf child,Training and Capacity Building,Technology and Logistics > Training and Capacity Building > TrainForTrade
881,Transport and Trade Logistics,Child and parent,Technology and Logistics,Technology and Logistics > Transport and Trade Logistics
1630,AfDB Project RAF0TIBO: Trade Facilitation in Central Africa,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > AfDB Project RAF0TIBO: Trade Facilitation in Central Africa
1656,Capacity-building for transit transport coordinators,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > Capacity-building for transit transport coordinators
885,Climate change adaptation and maritime transport,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > Climate change adaptation and maritime transport
1736,EU IMPACT Project: Improving Pacific Island Customs and Trade,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > EU IMPACT Project: Improving Pacific Island Customs and Trade
1634,German Project TJBI: WTO Trade Facilitation Agreement,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > German Project TJBI: WTO Trade Facilitation Agreement
1921,GGSP COTONI Project: Cotonou-Niamey Corridor (Benin section),Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > GGSP COTONI Project: Cotonou-Niamey Corridor (Benin section)
1728,Global Supply Chain Forum 2024,Child and parent,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > Global Supply Chain Forum 2024
1795,Global Supply Chain Forum 2024 (3rd NTFC),Leaf child,Global Supply Chain Forum 2024,Technology and Logistics > Transport and Trade Logistics > Global Supply Chain Forum 2024 > Global Supply Chain Forum 2024 (3rd NTFC)
1793,Global Supply Chain Forum 2024 (High-level),Leaf child,Global Supply Chain Forum 2024,Technology and Logistics > Transport and Trade Logistics > Global Supply Chain Forum 2024 > Global Supply Chain Forum 2024 (High-level)
1760,Global Supply Chain Forum 2024 (KEY SPEAKERS),Leaf child,Global Supply Chain Forum 2024,Technology and Logistics > Transport and Trade Logistics > Global Supply Chain Forum 2024 > Global Supply Chain Forum 2024 (KEY SPEAKERS)
1794,Global Supply Chain Forum 2024 (Parallel Session),Leaf child,Global Supply Chain Forum 2024,Technology and Logistics > Transport and Trade Logistics > Global Supply Chain Forum 2024 > Global Supply Chain Forum 2024 (Parallel Session)
1775,Global Supply Chain Forum 2024 (Side Event),Leaf child,Global Supply Chain Forum 2024,Technology and Logistics > Transport and Trade Logistics > Global Supply Chain Forum 2024 > Global Supply Chain Forum 2024 (Side Event)
1663,HMRC Project TLAL:  Accelerate trade facilitation,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > HMRC Project TLAL:  Accelerate trade facilitation
1631,HMRC-WCO project TICF: WTO trade facilitation agreement,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > HMRC-WCO project TICF: WTO trade facilitation agreement
884,International Maritime and Transport Law,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > International Maritime and Transport Law
1917,Project TOBK: TIPs in PACER Plus Countries,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > Project TOBK: TIPs in PACER Plus Countries
1652,Project X31Y: Maritime connectivity in ASEAN and Pacific,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > Project X31Y: Maritime connectivity in ASEAN and Pacific
800,Project: East African Community trade portals,Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > Project: East African Community trade portals
1791,Review of Maritime Transport (Series),Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > Review of Maritime Transport (Series)
1694,TFWA Project TLAP: Trade Facilitation West Africa (ECOWAS),Leaf child,Transport and Trade Logistics,Technology and Logistics > Transport and Trade Logistics > TFWA Project TLAP: Trade Facilitation West Africa (ECOWAS)
